,open,high,low,close,volume
2023-01-12,0.93095,0.9362,0.9263,0.92719,0
2023-01-13,0.9275,0.93168,0.9252,0.92666,0
2023-01-16,0.92682,0.92883,0.9213,0.9264,0
2023-01-17,0.9262,0.92762,0.9184,0.92191,0
2023-01-18,0.92156,0.92458,0.9084,0.91613,0
2023-01-19,0.91551,0.91896,0.91438,0.916,0
2023-01-20,0.9158,0.92348,0.9137,0.91928,0
2023-01-23,0.91918,0.92411,0.9159,0.92168,0
2023-01-24,0.92142,0.92795,0.9191,0.9224,0
2023-01-25,0.92249,0.92452,0.91717,0.91786,0
2023-01-26,0.91755,0.92253,0.9153,0.9205,0
2023-01-27,0.91991,0.924,0.91821,0.92061,0
2023-01-30,0.92088,0.92566,0.9175,0.9246,0
2023-01-31,0.9248,0.92882,0.9149,0.91596,0
2023-02-01,0.91591,0.91834,0.9069,0.90791,0
2023-02-02,0.90788,0.91394,0.9055,0.9131,0
2023-02-03,0.913,0.92694,0.9115,0.92567,0
2023-02-06,0.92765,0.9291,0.9222,0.92815,0
2023-02-07,0.92813,0.92899,0.919,0.92157,0
2023-02-08,0.92158,0.9226,0.9171,0.92087,0
2023-02-09,0.92054,0.92285,0.9155,0.92199,0
2023-02-10,0.92204,0.92531,0.9196,0.92293,0
2023-02-13,0.9232,0.92598,0.91898,0.9194,0
2023-02-14,0.9191,0.92342,0.91357,0.9214,0
2023-02-15,0.92141,0.92627,0.92,0.92368,0
2023-02-16,0.9237,0.9272,0.9208,0.9253,0
2023-02-17,0.92511,0.93322,0.92334,0.92402,0
2023-02-20,0.92563,0.926,0.9215,0.9232,0
2023-02-21,0.92241,0.92827,0.9224,0.9277,0
2023-02-22,0.92769,0.93187,0.9249,0.93129,0
2023-02-23,0.93118,0.93486,0.9284,0.93399,0
2023-02-24,0.934,0.94123,0.9322,0.93987,0
2023-02-27,0.9397,0.94292,0.9341,0.93575,0
2023-02-28,0.93554,0.94231,0.9338,0.9421,0
2023-03-01,0.94215,0.94283,0.9346,0.9392,0
2023-03-02,0.9392,0.94401,0.93811,0.94234,0
2023-03-03,0.94231,0.94231,0.93544,0.93583,0
2023-03-06,0.93563,0.9373,0.9299,0.93052,0
2023-03-07,0.93047,0.94245,0.9279,0.94101,0
2023-03-08,0.94148,0.94386,0.9385,0.94158,0
2023-03-09,0.94148,0.942,0.93215,0.93237,0
2023-03-10,0.93239,0.93329,0.917,0.92108,0
2023-03-13,0.91749,0.92024,0.9065,0.9114,0
2023-03-14,0.91113,0.91645,0.9093,0.91341,0
2023-03-15,0.91353,0.9339,0.9119,0.93275,0
2023-03-16,0.93282,0.93411,0.9226,0.92902,0
2023-03-17,0.92896,0.93011,0.9236,0.9257,0
2023-03-20,0.92492,0.93123,0.9238,0.92856,0
2023-03-21,0.92856,0.93171,0.9207,0.92229,0
2023-03-22,0.92215,0.92458,0.9145,0.91742,0
2023-03-23,0.9174,0.91807,0.9117,0.9164,0
2023-03-24,0.91623,0.9217,0.9149,0.9193,0
2023-03-27,0.91899,0.91996,0.915,0.916,0
2023-03-28,0.91567,0.92226,0.9131,0.91971,0
2023-03-29,0.9196,0.92231,0.9161,0.91804,0
2023-03-30,0.91814,0.92002,0.91204,0.91292,0
2023-03-31,0.9127,0.91776,0.911,0.9148,0
2023-04-03,0.91401,0.91963,0.9113,0.9123,0
2023-04-04,0.91226,0.91428,0.90489,0.9058,0
2023-04-05,0.90548,0.90759,0.90045,0.9062,0
2023-04-06,0.90597,0.9075,0.9031,0.9048,0
2023-04-07,0.9048,0.90816,0.90318,0.9051,0
2023-04-10,0.90404,0.91203,0.90349,0.9092,0
2023-04-11,0.90911,0.9096,0.9026,0.90316,0
2023-04-12,0.90316,0.90349,0.8943,0.896,0
2023-04-13,0.89553,0.8975,0.8859,0.88946,0
2023-04-14,0.8893,0.8959,0.8866,0.8928,0
2023-04-17,0.8941,0.89963,0.8921,0.89857,0
2023-04-18,0.89857,0.89875,0.8954,0.89623,0
2023-04-19,0.89614,0.90029,0.89565,0.8973,0
2023-04-20,0.89726,0.89832,0.89162,0.8924,0
2023-04-21,0.89234,0.89541,0.8907,0.892,0
2023-04-24,0.8922,0.8928,0.88701,0.88758,0
2023-04-25,0.88747,0.89272,0.8859,0.8916,0
2023-04-26,0.89124,0.89259,0.8851,0.891,0
2023-04-27,0.89061,0.89764,0.8901,0.89377,0
2023-04-28,0.89351,0.89752,0.8895,0.89371,0
2023-05-01,0.89271,0.89666,0.89149,0.89551,0
2023-05-02,0.89553,0.89949,0.89217,0.89262,0
2023-05-03,0.89278,0.893,0.88316,0.88367,0
2023-05-04,0.8837,0.88914,0.88197,0.88558,0
2023-05-05,0.88558,0.89734,0.8834,0.89025,0
2023-05-08,0.88967,0.89124,0.88674,0.88944,0
2023-05-09,0.88947,0.89427,0.8887,0.88979,0
2023-05-10,0.89005,0.89273,0.8867,0.8894,0
2023-05-11,0.88885,0.8958,0.8885,0.89399,0
2023-05-12,0.89352,0.89877,0.8896,0.89832,0
2023-05-15,0.89769,0.89878,0.894,0.89567,0
2023-05-16,0.89569,0.89706,0.8918,0.89645,0
2023-05-17,0.89635,0.90257,0.8948,0.8983,0
2023-05-18,0.89814,0.90625,0.89768,0.90434,0
2023-05-19,0.90457,0.9059,0.8974,0.899,0
2023-05-22,0.89854,0.89968,0.894,0.89704,0
2023-05-23,0.89736,0.90293,0.89683,0.90122,0
2023-05-24,0.90115,0.9067,0.9004,0.90485,0
2023-05-25,0.90484,0.90733,0.90373,0.9054,0
2023-05-26,0.90535,0.90745,0.90183,0.90449,0
